index,date,datetime_cst,aweme_id,url
1,2025-12-11,2025-12-11 17:37:27 +0800,7582532179743493435,https://www.douyin.com/video/7582532179743493435
2,2025-08-19,2025-08-19 02:02:23 +0800,7539987501855886638,https://www.douyin.com/video/7539987501855886638
3,2023-02-14,2023-02-14 17:44:39 +0800,7199945217477299515,https://www.douyin.com/video/7199945217477299515
4,2026-04-16,2026-04-16 18:41:08 +0800,7629305320225255012,https://www.douyin.com/video/7629305320225255012
5,2026-01-20,2026-01-20 13:56:34 +0800,7597318663230210438,https://www.douyin.com/note/7597318663230210438
6,2025-11-26,2025-11-26 10:30:06 +0800,7576855772332608774,https://www.douyin.com/video/7576855772332608774
7,2025-11-22,2025-11-22 11:25:00 +0800,7575385579668524315,https://www.douyin.com/video/7575385579668524315
8,2025-09-21,2025-09-21 10:24:36 +0800,7552362733249793315,https://www.douyin.com/video/7552362733249793315
9,2025-07-11,2025-07-11 00:37:11 +0800,7525493225554038056,https://www.douyin.com/video/7525493225554038056
10,2025-06-10,2025-06-10 01:00:49 +0800,7513995676607384883,https://www.douyin.com/video/7513995676607384883
11,2025-05-30,2025-05-30 22:00:07 +0800,7510238259260198144,https://www.douyin.com/video/7510238259260198144
12,2025-05-27,2025-05-27 02:24:38 +0800,7508822081828637961,https://www.douyin.com/video/7508822081828637961
13,2025-05-23,2025-05-23 03:40:17 +0800,7507357236495125770,https://www.douyin.com/video/7507357236495125770
14,2025-05-18,2025-05-18 11:36:08 +0800,7505624436997999923,https://www.douyin.com/video/7505624436997999923
15,2025-05-13,2025-05-13 12:26:38 +0800,7503782025742404875,https://www.douyin.com/video/7503782025742404875
16,2025-05-07,2025-05-07 12:28:07 +0800,7501555893349469466,https://www.douyin.com/video/7501555893349469466
17,2025-05-02,2025-05-02 01:13:02 +0800,7499526500169895178,https://www.douyin.com/video/7499526500169895178
18,2025-04-17,2025-04-17 02:59:54 +0800,7493987762757045539,https://www.douyin.com/video/7493987762757045539
19,2025-04-12,2025-04-12 16:54:10 +0800,7492347327257070857,https://www.douyin.com/video/7492347327257070857
20,2025-04-10,2025-04-10 02:50:12 +0800,7491387667301551395,https://www.douyin.com/video/7491387667301551395
21,2025-04-08,2025-04-08 01:40:16 +0800,7490627475781733683,https://www.douyin.com/video/7490627475781733683
22,2025-04-05,2025-04-05 00:48:53 +0800,7489500979885395210,https://www.douyin.com/video/7489500979885395210
23,2025-03-30,2025-03-30 10:14:08 +0800,7487420132151627071,https://www.douyin.com/video/7487420132151627071
24,2025-03-27,2025-03-27 09:25:46 +0800,7486294410494299428,https://www.douyin.com/video/7486294410494299428
25,2025-03-25,2025-03-25 11:42:32 +0800,7485587485167226151,https://www.douyin.com/video/7485587485167226151
26,2025-03-22,2025-03-22 11:54:58 +0800,7484477433110940980,https://www.douyin.com/video/7484477433110940980
27,2025-03-20,2025-03-20 12:12:36 +0800,7483739808062328073,https://www.douyin.com/video/7483739808062328073
28,2025-03-19,2025-03-19 12:17:12 +0800,7483369907036376370,https://www.douyin.com/video/7483369907036376370
29,2025-03-16,2025-03-16 10:26:43 +0800,7482228181894728971,https://www.douyin.com/video/7482228181894728971
30,2025-03-12,2025-03-12 12:25:44 +0800,7480774509432147251,https://www.douyin.com/video/7480774509432147251
31,2025-03-11,2025-03-11 01:52:01 +0800,7480240118100413706,https://www.douyin.com/video/7480240118100413706
32,2025-03-09,2025-03-09 14:36:50 +0800,7479695041884097830,https://www.douyin.com/video/7479695041884097830
33,2025-02-14,2025-02-14 18:07:40 +0800,7471214412595088666,https://www.douyin.com/video/7471214412595088666
34,2025-01-30,2025-01-30 19:01:37 +0800,7465662037994016009,https://www.douyin.com/video/7465662037994016009
35,2025-01-27,2025-01-27 12:29:27 +0800,7464447720997113126,https://www.douyin.com/video/7464447720997113126
36,2025-01-10,2025-01-10 21:41:12 +0800,7458281458281483556,https://www.douyin.com/video/7458281458281483556
37,2025-01-08,2025-01-08 12:04:11 +0800,7457390590817373476,https://www.douyin.com/video/7457390590817373476
38,2024-12-20,2024-12-20 11:29:37 +0800,7450331067870924059,https://www.douyin.com/video/7450331067870924059
39,2024-12-14,2024-12-14 20:24:48 +0800,7448242468799155496,https://www.douyin.com/video/7448242468799155496
40,2024-11-10,2024-11-10 10:25:40 +0800,7435471177138621748,https://www.douyin.com/video/7435471177138621748
41,2024-11-02,2024-11-02 11:28:27 +0800,7432518675426463013,https://www.douyin.com/video/7432518675426463013
